parcel_num	parcel_name	num_vertices	roi_num	roi_name	roi_count	roi_percentage
309	L_STSdp_ROI	199	5.0	TemporalL	190	95.47738693467338
310	L_STSvp_ROI	208	5.0	TemporalL	207	99.51923076923077
311	L_TGd_ROI	418	5.0	TemporalL	321	76.79425837320574
312	L_TE1a_ROI	124	5.0	TemporalL	124	100.0
313	L_TE1p_ROI	238	5.0	TemporalL	238	100.0
314	L_TE2a_ROI	253	5.0	TemporalL	182	71.93675889328063
315	L_TF_ROI	296	5.0	TemporalL	268	90.54054054054053
316	L_TE2p_ROI	125	5.0	TemporalL	120	96.0
317	L_PHT_ROI	182	1.0	OtherL	123	67.58241758241759
318	L_PH_ROI	225	5.0	TemporalL	168	74.66666666666667
319	L_TPOJ1_ROI	181	1.0	OtherL	173	95.58011049723757
320	L_TPOJ2_ROI	156	1.0	OtherL	93	59.61538461538461
321	L_TPOJ3_ROI	84	7.0	AngularL	69	82.14285714285714
322	L_DVT_ROI	129	1.0	OtherL	80	62.01550387596899
323	L_PGp_ROI	147	1.0	OtherL	104	70.74829931972789
324	L_IP2_ROI	198	1.0	OtherL	135	68.18181818181817
325	L_IP1_ROI	189	7.0	AngularL	174	92.06349206349206
326	L_IP0_ROI	108	1.0	OtherL	101	93.51851851851852
327	L_PFop_ROI	159	1.0	OtherL	159	100.0
328	L_PF_ROI	372	1.0	OtherL	372	100.0
329	L_PFm_ROI	509	7.0	AngularL	323	63.45776031434185
330	L_PGi_ROI	430	7.0	AngularL	426	99.06976744186046
331	L_PGs_ROI	305	7.0	AngularL	305	100.0
332	L_V6A_ROI	49	1.0	OtherL	25	51.02040816326531
333	L_VMV1_ROI	88	1.0	OtherL	71	80.68181818181817
334	L_VMV3_ROI	56	1.0	OtherL	56	100.0
335	L_PHA2_ROI	68	5.0	TemporalL	68	100.0
336	L_V4t_ROI	42	1.0	OtherL	42	100.0
337	L_FST_ROI	98	1.0	OtherL	98	100.0
338	L_V3CD_ROI	70	1.0	OtherL	70	100.0
339	L_LO3_ROI	60	1.0	OtherL	59	98.33333333333333
340	L_VMV2_ROI	46	1.0	OtherL	35	76.08695652173914
341	L_31pd_ROI	108	9.0	PCingPrecunL	108	100.0
342	L_31a_ROI	64	9.0	PCingPrecunL	58	90.625
343	L_VVC_ROI	126	1.0	OtherL	67	53.17460317460318
344	L_25_ROI	55	1.0	OtherL	49	89.0909090909091
345	L_s32_ROI	54	3.0	FrontalL	49	90.74074074074075
346	L_pOFC_ROI	78	1.0	OtherL	70	89.74358974358975
347	L_PoI1_ROI	154	1.0	OtherL	123	79.87012987012987
348	L_Ig_ROI	65	1.0	OtherL	65	100.0
349	L_FOP5_ROI	138	3.0	FrontalL	85	61.59420289855072
350	L_p10p_ROI	110	3.0	FrontalL	110	100.0
351	L_p47r_ROI	129	3.0	FrontalL	127	98.44961240310077
352	L_TGv_ROI	67	5.0	TemporalL	61	91.04477611940298
353	L_MBelt_ROI	91	1.0	OtherL	91	100.0
354	L_LBelt_ROI	76	1.0	OtherL	76	100.0
355	L_A4_ROI	204	1.0	OtherL	190	93.13725490196079
356	L_STSva_ROI	129	5.0	TemporalL	129	100.0
357	L_TE1m_ROI	102	5.0	TemporalL	99	97.05882352941177
358	L_PI_ROI	130	1.0	OtherL	125	96.15384615384616
359	L_a32pr_ROI	128	3.0	FrontalL	128	100.0
360	L_p24_ROI	58	1.0	OtherL	41	70.6896551724138
