parcel_num	parcel_name	num_vertices	roi_num	roi_name	roi_count	roi_percentage	bilateral_parcel_name	bilateral_roi_name	bilateral_roi_count	bilateral_num_vertices	bilateral_roi_count_max	bilateral_roi_percentage
325	L_IP1_ROI	189	7	L_Angular	174	92.06349206349206	IP1_ROI	Angular	337	383	337	0.8798955613577023
326	L_IP0_ROI	108	1	L_Other	90	83.33333333333334	IP0_ROI	Other	109	203	109	0.5369458128078818
327	L_PFop_ROI	159	1	L_Other	159	100.0	PFop_ROI	Other	314	314	314	1.0
328	L_PF_ROI	372	1	L_Other	372	100.0	PF_ROI	Other	755	755	755	1.0
329	L_PFm_ROI	509	1	L_Other	319	62.67190569744597	PFm_ROI	Other	707	980	707	0.7214285714285714
330	L_PGi_ROI	430	7	L_Angular	425	98.83720930232558	PGi_ROI	Angular	590	807	590	0.7311028500619579
331	L_PGs_ROI	305	7	L_Angular	305	100.0	PGs_ROI	Angular	501	514	501	0.9747081712062257
332	L_V6A_ROI	49	7	L_Angular	22	44.89795918367347	V6A_ROI	Angular	53	96	53	0.5520833333333334
333	L_VMV1_ROI	88	1	L_Other	83	94.31818181818183	VMV1_ROI	Other	178	201	178	0.8855721393034826
334	L_VMV3_ROI	56	1	L_Other	56	100.0	VMV3_ROI	Other	115	115	115	1.0
335	L_PHA2_ROI	68	5	L_Temporal	68	100.0	PHA2_ROI	Temporal	129	129	129	1.0
336	L_V4t_ROI	42	1	L_Other	42	100.0	V4t_ROI	Other	87	87	87	1.0
337	L_FST_ROI	98	1	L_Other	98	100.0	FST_ROI	Other	175	175	175	1.0
338	L_V3CD_ROI	70	1	L_Other	70	100.0	V3CD_ROI	Other	148	149	148	0.9932885906040269
339	L_LO3_ROI	60	1	L_Other	43	71.66666666666667	LO3_ROI	Other	80	125	80	0.64
340	L_VMV2_ROI	46	1	L_Other	42	91.30434782608695	VMV2_ROI	Other	111	129	111	0.8604651162790697
341	L_31pd_ROI	108	9	L_PCingPrecun	108	100.0	31pd_ROI	PCingPrecun	189	189	189	1.0
342	L_31a_ROI	64	9	L_PCingPrecun	62	96.875	31a_ROI	PCingPrecun	134	136	134	0.9852941176470589
343	L_VVC_ROI	126	5	L_Temporal	56	44.44444444444444	VVC_ROI	Temporal	143	250	143	0.572
344	L_25_ROI	55	1	L_Other	46	83.63636363636363	25_ROI	Other	106	117	106	0.905982905982906
345	L_s32_ROI	54	3	L_Frontal	52	96.29629629629629	s32_ROI	Frontal	85	106	85	0.8018867924528302
346	L_pOFC_ROI	78	1	L_Other	72	92.3076923076923	pOFC_ROI	Other	184	196	184	0.9387755102040817
347	L_PoI1_ROI	154	1	L_Other	137	88.96103896103897	PoI1_ROI	Other	286	317	286	0.9022082018927445
348	L_Ig_ROI	65	1	L_Other	65	100.0	Ig_ROI	Other	189	189	189	1.0
349	L_FOP5_ROI	138	3	L_Frontal	107	77.53623188405797	FOP5_ROI	Frontal	223	294	223	0.7585034013605442
350	L_p10p_ROI	110	3	L_Frontal	110	100.0	p10p_ROI	Frontal	258	258	258	1.0
351	L_p47r_ROI	129	3	L_Frontal	125	96.89922480620154	p47r_ROI	Frontal	225	229	225	0.982532751091703
352	L_TGv_ROI	67	5	L_Temporal	54	80.59701492537313	TGv_ROI	Temporal	169	193	169	0.8756476683937824
353	L_MBelt_ROI	91	1	L_Other	91	100.0	MBelt_ROI	Other	166	166	166	1.0
354	L_LBelt_ROI	76	1	L_Other	76	100.0	LBelt_ROI	Other	161	161	161	1.0
355	L_A4_ROI	204	1	L_Other	189	92.64705882352942	A4_ROI	Other	368	391	368	0.9411764705882353
356	L_STSva_ROI	129	5	L_Temporal	129	100.0	STSva_ROI	Temporal	210	210	210	1.0
357	L_TE1m_ROI	102	5	L_Temporal	95	93.13725490196079	TE1m_ROI	Temporal	212	224	212	0.9464285714285714
358	L_PI_ROI	130	1	L_Other	126	96.92307692307692	PI_ROI	Other	236	257	236	0.9182879377431906
359	L_a32pr_ROI	128	3	L_Frontal	128	100.0	a32pr_ROI	Frontal	255	255	255	1.0
360	L_p24_ROI	58	1	L_Other	45	77.58620689655173	p24_ROI	Other	103	131	103	0.7862595419847328
