parcel_num	parcel_name	num_vertices	roi_num	roi_name	roi_count	roi_percentage	bilateral_parcel_name	bilateral_roi_name	bilateral_roi_count	bilateral_num_vertices	bilateral_roi_count_max	bilateral_roi_percentage
152	R_V6A_ROI	47	0	???	3	6.382978723404255	V6A_ROI	???	51	96	51	0.53125
153	R_VMV1_ROI	113	0	???	113	100.0	VMV1_ROI	???	201	201	201	1.0
154	R_VMV3_ROI	59	0	???	59	100.0	VMV3_ROI	???	115	115	115	1.0
155	R_PHA2_ROI	61	0	???	61	100.0	PHA2_ROI	???	129	129	129	1.0
156	R_V4t_ROI	45	0	???	44	97.77777777777777	V4t_ROI	???	86	87	86	0.9885057471264368
157	R_FST_ROI	77	0	???	45	58.44155844155844	FST_ROI	???	135	175	135	0.7714285714285715
158	R_V3CD_ROI	79	0	???	77	97.46835443037975	V3CD_ROI	???	147	149	147	0.9865771812080537
159	R_LO3_ROI	65	0	???	46	70.76923076923077	LO3_ROI	???	95	125	95	0.76
160	R_VMV2_ROI	83	0	???	83	100.0	VMV2_ROI	???	129	129	129	1.0
161	R_31pd_ROI	81	0	???	81	100.0	31pd_ROI	???	189	189	189	1.0
162	R_31a_ROI	72	0	???	72	100.0	31a_ROI	???	136	136	136	1.0
163	R_VVC_ROI	124	0	???	123	99.19354838709677	VVC_ROI	???	242	250	242	0.968
164	R_25_ROI	62	0	???	62	100.0	25_ROI	???	117	117	117	1.0
165	R_s32_ROI	52	0	???	52	100.0	s32_ROI	???	106	106	106	1.0
166	R_pOFC_ROI	118	0	???	118	100.0	pOFC_ROI	???	196	196	196	1.0
167	R_PoI1_ROI	163	0	???	163	100.0	PoI1_ROI	???	317	317	317	1.0
168	R_Ig_ROI	124	0	???	124	100.0	Ig_ROI	???	189	189	189	1.0
169	R_FOP5_ROI	156	2	R_Lateral	155	99.35897435897436	FOP5_ROI	Lateral	266	294	266	0.9047619047619048
170	R_p10p_ROI	148	0	???	136	91.8918918918919	p10p_ROI	???	246	258	246	0.9534883720930233
171	R_p47r_ROI	100	2	R_Lateral	96	96.0	p47r_ROI	Lateral	223	229	223	0.9737991266375546
172	R_TGv_ROI	126	2	R_Lateral	116	92.06349206349206	TGv_ROI	Lateral	182	193	182	0.9430051813471503
173	R_MBelt_ROI	75	0	???	75	100.0	MBelt_ROI	???	166	166	166	1.0
174	R_LBelt_ROI	85	0	???	85	100.0	LBelt_ROI	???	161	161	161	1.0
175	R_A4_ROI	187	0	???	148	79.14438502673798	A4_ROI	???	338	391	338	0.8644501278772379
176	R_STSva_ROI	81	2	R_Lateral	81	100.0	STSva_ROI	Lateral	208	210	208	0.9904761904761905
177	R_TE1m_ROI	122	2	R_Lateral	122	100.0	TE1m_ROI	Lateral	224	224	224	1.0
178	R_PI_ROI	127	0	???	86	67.71653543307087	PI_ROI	???	204	257	204	0.7937743190661478
179	R_a32pr_ROI	127	0	???	127	100.0	a32pr_ROI	???	255	255	255	1.0
180	R_p24_ROI	73	0	???	73	100.0	p24_ROI	???	131	131	131	1.0
181	L_V1_ROI	831	0	???	831	100.0	V1_ROI	???	1618	1618	1618	1.0
182	L_MST_ROI	73	0	???	73	100.0	MST_ROI	???	149	149	149	1.0
183	L_V6_ROI	114	0	???	114	100.0	V6_ROI	???	236	237	236	0.9957805907172996
184	L_V2_ROI	619	0	???	619	100.0	V2_ROI	???	1220	1220	1220	1.0
185	L_V3_ROI	337	0	???	337	100.0	V3_ROI	???	684	684	684	1.0
186	L_V4_ROI	361	0	???	361	100.0	V4_ROI	???	661	661	661	1.0
187	L_V8_ROI	49	0	???	49	100.0	V8_ROI	???	113	113	113	1.0
188	L_4_ROI	839	0	???	836	99.64243146603098	4_ROI	???	1641	1649	1641	0.9951485748938751
189	L_3b_ROI	574	0	???	574	100.0	3b_ROI	???	1131	1131	1131	1.0
190	L_FEF_ROI	153	0	???	122	79.73856209150327	FEF_ROI	???	294	332	294	0.8855421686746988
191	L_PEF_ROI	72	1	L_Lateral	72	100.0	PEF_ROI	Lateral	122	163	122	0.7484662576687117
192	L_55b_ROI	130	0	???	59	45.38461538461539	55b_ROI	???	128	237	128	0.540084388185654
193	L_V3A_ROI	151	0	???	151	100.0	V3A_ROI	???	282	298	282	0.9463087248322147
194	L_RSC_ROI	211	0	???	211	100.0	RSC_ROI	???	442	442	442	1.0
195	L_POS2_ROI	250	0	???	246	98.4	POS2_ROI	???	469	500	469	0.938
196	L_V7_ROI	44	1	L_Lateral	11	25.0	V7_ROI	Lateral	56	89	56	0.6292134831460674
197	L_IPS1_ROI	135	1	L_Lateral	75	55.55555555555556	IPS1_ROI	Lateral	170	246	170	0.6910569105691057
198	L_FFC_ROI	151	0	???	80	52.980132450331126	FFC_ROI	???	174	318	174	0.5471698113207547
199	L_V3B_ROI	77	0	???	77	100.0	V3B_ROI	???	127	150	127	0.8466666666666667
200	L_LO1_ROI	37	0	???	37	100.0	LO1_ROI	???	80	80	80	1.0
201	L_LO2_ROI	52	0	???	52	100.0	LO2_ROI	???	81	83	81	0.9759036144578314
202	L_PIT_ROI	62	0	???	62	100.0	PIT_ROI	???	120	124	120	0.967741935483871
203	L_MT_ROI	58	0	???	52	89.65517241379311	MT_ROI	???	91	100	91	0.91
204	L_A1_ROI	77	0	???	77	100.0	A1_ROI	???	143	143	143	1.0
205	L_PSL_ROI	163	0	???	152	93.25153374233128	PSL_ROI	???	327	338	327	0.9674556213017751
206	L_SFL_ROI	185	0	???	185	100.0	SFL_ROI	???	304	304	304	1.0
207	L_PCV_ROI	164	0	???	164	100.0	PCV_ROI	???	328	328	328	1.0
208	L_STV_ROI	138	0	???	127	92.02898550724638	STV_ROI	???	262	286	262	0.916083916083916
209	L_7Pm_ROI	94	0	???	79	84.04255319148936	7Pm_ROI	???	167	190	167	0.8789473684210526
210	L_7m_ROI	130	0	???	130	100.0	7m_ROI	???	265	265	265	1.0
211	L_POS1_ROI	225	0	???	225	100.0	POS1_ROI	???	437	437	437	1.0
212	L_23d_ROI	81	0	???	81	100.0	23d_ROI	???	194	194	194	1.0
213	L_v23ab_ROI	72	0	???	72	100.0	v23ab_ROI	???	154	154	154	1.0
214	L_d23ab_ROI	88	0	???	88	100.0	d23ab_ROI	???	135	135	135	1.0
215	L_31pv_ROI	109	0	???	109	100.0	31pv_ROI	???	220	220	220	1.0
216	L_5m_ROI	112	0	???	112	100.0	5m_ROI	???	264	264	264	1.0
217	L_5mv_ROI	191	0	???	191	100.0	5mv_ROI	???	411	411	411	1.0
218	L_23c_ROI	243	0	???	243	100.0	23c_ROI	???	512	512	512	1.0
219	L_5L_ROI	188	0	???	178	94.68085106382979	5L_ROI	???	375	385	375	0.974025974025974
220	L_24dd_ROI	223	0	???	223	100.0	24dd_ROI	???	471	471	471	1.0
221	L_24dv_ROI	141	0	???	141	100.0	24dv_ROI	???	298	298	298	1.0
222	L_7AL_ROI	204	0	???	187	91.66666666666666	7AL_ROI	???	307	371	307	0.8274932614555256
223	L_SCEF_ROI	203	0	???	203	100.0	SCEF_ROI	???	396	396	396	1.0
224	L_6ma_ROI	178	0	???	147	82.58426966292134	6ma_ROI	???	321	387	321	0.8294573643410853
225	L_7Am_ROI	208	0	???	195	93.75	7Am_ROI	???	386	404	386	0.9554455445544554
226	L_7PL_ROI	97	1	L_Lateral	47	48.45360824742268	7PL_ROI	Lateral	93	174	93	0.5344827586206896
227	L_7PC_ROI	171	0	???	143	83.62573099415205	7PC_ROI	???	339	367	339	0.9237057220708447
228	L_LIPv_ROI	130	0	???	50	38.46153846153847	LIPv_ROI	???	189	284	189	0.6654929577464789
229	L_VIP_ROI	116	0	???	35	30.17241379310345	VIP_ROI	???	143	227	143	0.6299559471365639
230	L_MIP_ROI	159	1	L_Lateral	103	64.77987421383648	MIP_ROI	Lateral	217	339	217	0.640117994100295
231	L_1_ROI	401	0	???	401	100.0	1_ROI	???	788	788	788	1.0
232	L_2_ROI	574	0	???	574	100.0	2_ROI	???	1198	1198	1198	1.0
233	L_3a_ROI	305	0	???	305	100.0	3a_ROI	???	625	625	625	1.0
234	L_6d_ROI	154	0	???	154	100.0	6d_ROI	???	332	332	332	1.0
235	L_6mp_ROI	258	0	???	258	100.0	6mp_ROI	???	527	527	527	1.0
236	L_6v_ROI	85	0	???	58	68.23529411764706	6v_ROI	???	124	202	124	0.6138613861386139
237	L_p24pr_ROI	81	0	???	81	100.0	p24pr_ROI	???	173	173	173	1.0
238	L_33pr_ROI	55	0	???	55	100.0	33pr_ROI	???	130	130	130	1.0
239	L_a24pr_ROI	94	0	???	94	100.0	a24pr_ROI	???	147	147	147	1.0
240	L_p32pr_ROI	139	0	???	139	100.0	p32pr_ROI	???	277	277	277	1.0
241	L_a24_ROI	90	0	???	90	100.0	a24_ROI	???	172	172	172	1.0
242	L_d32_ROI	120	0	???	120	100.0	d32_ROI	???	243	243	243	1.0
243	L_8BM_ROI	174	0	???	174	100.0	8BM_ROI	???	349	349	349	1.0
244	L_p32_ROI	99	0	???	99	100.0	p32_ROI	???	200	200	200	1.0
245	L_10r_ROI	94	0	???	94	100.0	10r_ROI	???	168	168	168	1.0
246	L_47m_ROI	53	1	L_Lateral	53	100.0	47m_ROI	Lateral	114	114	114	1.0
247	L_8Av_ROI	199	1	L_Lateral	126	63.31658291457286	8Av_ROI	Lateral	320	406	320	0.7881773399014779
248	L_8Ad_ROI	242	0	???	213	88.01652892561982	8Ad_ROI	???	385	481	385	0.8004158004158004
249	L_9m_ROI	275	0	???	275	100.0	9m_ROI	???	541	541	541	1.0
250	L_8BL_ROI	151	0	???	151	100.0	8BL_ROI	???	341	341	341	1.0
251	L_9p_ROI	147	0	???	147	100.0	9p_ROI	???	250	250	250	1.0
252	L_10d_ROI	153	0	???	153	100.0	10d_ROI	???	271	271	271	1.0
253	L_8C_ROI	257	1	L_Lateral	257	100.0	8C_ROI	Lateral	497	500	497	0.994
254	L_44_ROI	139	1	L_Lateral	136	97.84172661870504	44_ROI	Lateral	274	284	274	0.9647887323943662
255	L_45_ROI	200	1	L_Lateral	200	100.0	45_ROI	Lateral	335	335	335	1.0
256	L_47l_ROI	113	1	L_Lateral	113	100.0	47l_ROI	Lateral	228	228	228	1.0
257	L_a47r_ROI	176	1	L_Lateral	171	97.1590909090909	a47r_ROI	Lateral	310	350	310	0.8857142857142857
258	L_6r_ROI	242	0	???	180	74.3801652892562	6r_ROI	???	357	505	357	0.7069306930693069
259	L_IFJa_ROI	88	1	L_Lateral	88	100.0	IFJa_ROI	Lateral	167	167	167	1.0
260	L_IFJp_ROI	87	1	L_Lateral	87	100.0	IFJp_ROI	Lateral	150	150	150	1.0
261	L_IFSp_ROI	103	1	L_Lateral	103	100.0	IFSp_ROI	Lateral	236	236	236	1.0
262	L_IFSa_ROI	159	1	L_Lateral	159	100.0	IFSa_ROI	Lateral	315	315	315	1.0
263	L_p9-46v_ROI	128	1	L_Lateral	121	94.53125	p9-46v_ROI	Lateral	282	309	282	0.912621359223301
264	L_46_ROI	213	0	???	124	58.21596244131455	46_ROI	???	300	456	300	0.6578947368421053
265	L_a9-46v_ROI	126	0	???	105	83.33333333333334	a9-46v_ROI	???	146	221	146	0.6606334841628959
266	L_9-46d_ROI	267	0	???	258	96.62921348314607	9-46d_ROI	???	502	516	502	0.9728682170542635
267	L_9a_ROI	151	0	???	151	100.0	9a_ROI	???	282	282	282	1.0
268	L_10v_ROI	133	0	???	133	100.0	10v_ROI	???	231	231	231	1.0
269	L_a10p_ROI	105	0	???	63	60.0	a10p_ROI	???	101	176	101	0.5738636363636364
270	L_10pp_ROI	95	0	???	95	100.0	10pp_ROI	???	191	191	191	1.0
271	L_11l_ROI	170	0	???	131	77.05882352941177	11l_ROI	???	234	323	234	0.7244582043343654
272	L_13l_ROI	117	1	L_Lateral	80	68.37606837606837	13l_ROI	Lateral	155	199	155	0.7788944723618091
273	L_OFC_ROI	328	0	???	328	100.0	OFC_ROI	???	665	680	665	0.9779411764705882
274	L_47s_ROI	119	1	L_Lateral	107	89.91596638655463	47s_ROI	Lateral	242	265	242	0.9132075471698113
275	L_LIPd_ROI	99	0	???	59	59.59595959595959	LIPd_ROI	???	93	174	93	0.5344827586206896
